Timestamp,Rate how strongly you agree with any one of the following: [I personally know someone or have family/family friends who are successful in my field.],Rate how strongly you agree with any one of the following: [My academic background before attending university prepared me for success in my major.],Rate how strongly you agree with any one of the following: [Attending my university is not a huge financial burden for me.],The resources my courses provide are sufficient for me to succeed,"""PGO waves, or pontine-geniculate-occipital waves, are brief, high-amplitude electrical signals observed in the brain during REM sleep. These waves originate in the pons (part of the brainstem), propagate to the lateral geniculate nucleus (a visual relay center in the thalamus), and finally reach the occipital cortex (the visual processing area of the brain)...""","""Ponto-geniculo-occipital (PGO) waves are a signature of REM sleep. They represent the physiological mechanism of REM sleep that specifically limits the processing of external information. PGO waves look just like a message sent from the pons to the lateral geniculate nucleus of the visual thalamus, the occipital cortex, and other areas of the brain. The dedicated visual pathway of PGO waves can be interpreted by the brain as visual information, leading to the visual hallucinosis of dreams. PGO waves are considered to be both a reflection of REM sleep brain activity and causal to dreams due to their stimulation of the cortex…""","""REM sleep has many different brain features to it. The first of which is your electrical brain wave activity. The top of the brain, the cortex, looks almost identical to that which you have when you are awake, which is stunning because you are not conscious. You're lying completely still, no presence of muscle tone whatsoever, yet your brain seems to be just as on fire with electrical activity as it is when you are awake. Coming down a step, there are these unique pulses of electrical bursts that come up from the brain stem up to this sensory relay state center in the brain called the thalamus, and then they were initially recorded out in the back of the brain in the visual cortex. Hence these PGO waves describe the three sites that I just mentioned going from the brainstem, the pons, up to the thalamus, a part of it called the geniculate, and then out to the back of the brain called the occipital cortex, PGO…""","Resource A is officially recommended by the course instructor and staff, while Resource B is recommended by other students in the course, including people you know. Both have similar reviews. Which do you use?","For the past 6 months, which of the following resources are students utilizing most often to learn/complete their assignments and finding most reliable?","When completing assignments, which approach do you believe leads to better outcomes?",How comfortable or confident do you feel using the following resources to get answers to questions or complete an important assignment?  [Professor/Course staff],How comfortable or confident do you feel using the following resources to get answers to questions or complete an important assignment?  [Peers],"How comfortable or confident do you feel using the following resources to get answers to questions or complete an important assignment?  [Select ""Somewhat Hesitant"" for this option to show you are attentive]",How comfortable or confident do you feel using the following resources to get answers to questions or complete an important assignment?  [Ed Discussion Boards],"How comfortable or confident do you feel using the following resources to get answers to questions or complete an important assignment?  [AI tools (e.g., ChatGPT)]",How comfortable or confident do you feel using the following resources to get answers to questions or complete an important assignment?  [Internet Searches],How frequently on average do you use ChatGPT/similar AI tools in a week?,"How frequently on average do you use non-AI resources (office hours, google, course readings, etc) in comparison?","If you use ChatGPT/similar AI tools, what do you use it for?",Are you a student at UC Berkeley?,What year are you?,How old are you?,What gender do you identify with?,What college is your major(s) in?,What college is your minor in? (N/A if not applicable)
12/2/2024 21:37:07,Agree,Agree,Agree,3,Somewhat Credible,Somewhat Credible,Not Credible,Resource B,Internet Searches,Focusing on thoroughness and attention to detail,Somewhat Confident,Somewhat Hesitant,Somewhat Hesitant,Very Hesitant,Somewhat Confident,Very Confident,3–4 times per week.,1,explanations of difficult concepts ,Yes,UG Sophomore,18-19,nonbinary,College of Letters & Science,College of Letters & Science
12/2/2024 21:44:49,Strongly Agree,Strongly Agree,Agree,3,Very Credible,Very Credible,Somewhat Credible,Resource B,AI Tools (e.g. ChatGPT),Focusing on thoroughness and attention to detail,Somewhat Confident,Very Confident,Somewhat Hesitant,Neutral,Very Confident,Very Confident,3–4 times per week.,4,"Getting clarification for questions, helping with debugging, or providing answers to smaller questions",Yes,UG Sophomore,18-19,Male,College of Letters & Science,
12/2/2024 22:32:27,Agree,Agree,Neutral,1,Very Credible,Very Credible,Not Credible,Resource B,AI Tools (e.g. ChatGPT),Focusing on thoroughness and attention to detail,Somewhat Hesitant,Very Confident,Somewhat Hesitant,Neutral,Very Confident,Very Confident,Once a day (7 times per week).,3,I use it to find my errors and to explain to me concepts I don’t understand,Yes,UG Sophomore,18-19,Male,"College of Letters & Science, Computing, Data Science, & Society (CDSS)",
12/3/2024 0:09:06,Strongly Agree,Agree,Agree,4,Very Credible,Very Credible,Somewhat Credible,Resource B,AI Tools (e.g. ChatGPT),Focusing on thoroughness and attention to detail,Somewhat Confident,Somewhat Confident,Somewhat Hesitant,Neutral,Somewhat Hesitant,Somewhat Confident,I don’t use ChatGPT.,1,n/a,Yes,UG Sophomore,18-19,Female,College of Letters & Science,
12/3/2024 0:20:21,Strongly Disagree,Strongly Disagree,Neutral,2,Somewhat Credible,Somewhat Credible,Likely Not Credible,Resource A,Professor/Staff Office Hours,Focusing on thoroughness and attention to detail,Neutral,Very Hesitant,Somewhat Hesitant,Very Confident,Very Confident,Very Confident,1–2 times per week.,1,"General guidance, and clarifying conceptual questions ",Yes,UG Senior,30+,Male,"Computing, Data Science, & Society (CDSS)",
12/3/2024 10:09:28,Agree,Neutral,Neutral,5,Somewhat Credible,Likely Not Credible,Very Credible,Resource B,AI Tools (e.g. ChatGPT),Focusing on thoroughness and attention to detail,Somewhat Confident,Somewhat Hesitant,Somewhat Hesitant,Somewhat Confident,Somewhat Confident,Somewhat Confident,4–5 times a day (28–35 times per week).,4,"as a person named vincent p. i use it for code production, code correction, concept clarification,  concept roadmapping. i prompt before, during, or after, to try to get more context when I feel uncertain about a topic. also for direct answers when I have many questions. it is really helpful to me because I am curious and the back and forth with gpt actually fuels my curiosity. ",Yes,UG Senior,30+,Male,"College of Letters & Science, Computing, Data Science, & Society (CDSS)",College of Letters & Science
12/3/2024 14:08:04,Agree,Agree,Neutral,4,Somewhat Credible,Likely Not Credible,Likely Not Credible,Resource B,AI Tools (e.g. ChatGPT),Focusing on thoroughness and attention to detail,Somewhat Hesitant,Neutral,Somewhat Hesitant,Very Confident,Somewhat Confident,Somewhat Confident,Once a day (7 times per week).,3,"Understand course content, do calculations, generate code",Yes,UG Senior,20-21,Male,"Computing, Data Science, & Society (CDSS)",
12/3/2024 14:51:32,Strongly Disagree,Disagree,Neutral,1,Somewhat Credible,Likely Not Credible,Not Credible,Resource B,AI Tools (e.g. ChatGPT),Prioritizing speed and efficiency,Very Hesitant,Somewhat Confident,Somewhat Hesitant,Very Hesitant,Very Confident,Very Confident,2–3 times a day (14–21 times per week).,1,bs assignments i don't want to do,Yes,UG Junior,20-21,Female,"Computing, Data Science, & Society (CDSS)",College of Letters & Science
12/3/2024 16:00:42,Strongly Agree,Agree,Disagree,5,Somewhat Credible,Somewhat Credible,Somewhat Credible,Resource A,AI Tools (e.g. ChatGPT),Focusing on thoroughness and attention to detail,Somewhat Hesitant,Somewhat Confident,Somewhat Confident,Very Confident,Very Confident,Very Confident,3–4 times per week.,5,Homework and concepts ,Yes,UG Senior,30+,Male,"Computing, Data Science, & Society (CDSS)","Computing, Data Science, & Society (CDSS)"
12/3/2024 16:43:09,Neutral,Strongly Disagree,Strongly Disagree,2,Likely Not Credible,Somewhat Credible,Not Credible,Resource A,AI Tools (e.g. ChatGPT),Prioritizing speed and efficiency,Very Confident,Neutral,Somewhat Hesitant,Very Hesitant,Neutral,Somewhat Confident,Once a day (7 times per week).,2,"do readings faster. I copy and paste long readings and have AI summarize it for me. I also use it to ""dumb out"" harder concepts that my professors don't teach in a way that makes sense to me. ",No,Graduate,22-23,Female,School of Public Health,
